age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,y
30,other,married,primary,no,1787,no,no,cellular,19,second half,79,1,-1,0,no
33,white-collar,married,secondary,no,4789,yes,yes,cellular,11,first half,220,1,339,4,no
35,white-collar,single,tertiary,no,1350,yes,no,cellular,16,first half,185,1,330,1,no
35,white-collar,single,tertiary,no,747,no,no,cellular,23,first half,141,2,176,3,no
36,white-collar,married,tertiary,no,307,yes,no,cellular,14,first half,341,1,330,2,no
39,white-collar,married,secondary,no,147,yes,no,cellular,6,first half,151,2,-1,0,no
43,white-collar,married,primary,no,-88,yes,yes,cellular,17,first half,313,1,147,2,no
43,white-collar,married,secondary,no,264,yes,no,cellular,17,first half,113,2,-1,0,no
36,white-collar,married,tertiary,no,1109,no,no,cellular,13,second half,328,2,-1,0,no
20,other,single,secondary,no,502,no,no,cellular,30,first half,261,1,-1,0,yes
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,first half,89,1,241,1,no
40,white-collar,married,tertiary,no,194,no,yes,cellular,29,second half,189,2,-1,0,no
56,white-collar,married,secondary,no,4073,no,no,cellular,27,second half,239,5,-1,0,no
37,white-collar,single,tertiary,no,2317,yes,no,cellular,20,first half,114,1,152,2,no
31,white-collar,married,secondary,no,132,no,no,cellular,7,second half,148,1,152,1,no
42,white-collar,divorced,tertiary,no,16,no,no,cellular,19,second half,140,3,-1,0,no
44,white-collar,married,secondary,no,93,no,no,cellular,7,second half,125,2,-1,0,no
26,other,married,tertiary,no,543,no,no,cellular,30,first half,169,3,-1,0,no
41,white-collar,married,tertiary,no,5883,no,no,cellular,20,second half,182,2,-1,0,no
56,white-collar,married,secondary,no,784,no,yes,cellular,30,second half,149,2,-1,0,no
53,white-collar,married,secondary,no,105,no,yes,cellular,21,second half,74,2,-1,0,no
68,other,divorced,secondary,no,4189,no,no,telephone,14,second half,897,2,-1,0,yes
31,white-collar,married,secondary,no,171,no,no,cellular,27,second half,81,3,-1,0,no
59,white-collar,married,secondary,no,42,no,no,cellular,21,second half,40,1,-1,0,no
32,white-collar,single,tertiary,no,2536,yes,no,cellular,26,second half,958,6,-1,0,yes
49,white-collar,married,tertiary,no,1235,no,no,cellular,13,second half,354,3,-1,0,yes
78,other,divorced,primary,no,229,no,no,telephone,22,second half,97,1,-1,0,yes
32,blue-collar,married,secondary,no,2089,yes,no,cellular,14,second half,132,1,-1,0,yes
33,white-collar,married,secondary,no,3935,yes,no,cellular,6,first half,765,1,342,2,yes
36,white-collar,single,tertiary,no,553,no,no,cellular,11,second half,106,2,-1,0,no
52,blue-collar,married,secondary,no,1117,yes,no,cellular,13,first half,365,1,-1,0,no
32,white-collar,married,tertiary,no,396,yes,no,cellular,13,first half,205,3,-1,0,no
32,white-collar,single,tertiary,no,2204,yes,no,cellular,21,second half,11,4,-1,0,no
55,blue-collar,married,primary,no,145,no,no,telephone,2,first half,59,3,5,2,no
32,white-collar,single,primary,yes,-849,yes,yes,cellular,4,first half,204,1,-1,0,no
37,white-collar,single,secondary,no,228,yes,no,cellular,20,second half,1740,2,-1,0,no
38,white-collar,single,secondary,no,50,no,no,cellular,29,second half,98,2,-1,0,no
34,white-collar,married,tertiary,no,1539,yes,no,cellular,15,first half,441,1,56,1,yes
53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,second half,272,3,-1,0,no
48,white-collar,married,secondary,no,3064,yes,no,telephone,15,second half,159,2,-1,0,no
57,white-collar,married,secondary,no,82,no,yes,telephone,4,first half,140,1,-1,0,no
33,white-collar,single,tertiary,no,2155,no,no,cellular,17,second half,295,1,-1,0,no
41,blue-collar,married,primary,no,-516,no,yes,telephone,8,second half,554,3,-1,0,no
